KOD,MANDAT_VALKRETS,RÖSTER,KOMMUNKOD,MP_RÖSTER,MP_PROCENT,MP_MANDAT
230300,27,3486,2303,38,"1,09",0
148502,30,16988,1485,915,"5,39",2
148501,31,17425,1485,1170,"6,71",2
078100,49,17568,0781,609,"3,47",2
108202,25,10381,1082,682,"6,57",2
108201,26,10446,1082,1064,"10,19",3
198100,45,14425,1981,541,"3,75",2
127600,41,10064,1276,474,"4,71",2
176300,41,7580,1763,290,"3,83",2
048800,35,8033,0488,637,"7,93",3
012500,41,17092,0125,1951,"11,41",5
056300,35,5319,0563,167,"3,14",1
126000,31,8442,1260,348,"4,12",1
142700,31,6335,1427,271,"4,28",1
147000,45,10296,1470,227,"2,20",1
246000,35,5538,2460,351,"6,34",2
148901,26,13628,1489,1356,"9,95",3
148902,25,12415,1489,1458,"11,74",3
146600,31,6210,1466,176,"2,83",1
202600,35,6713,2026,341,"5,08",2
196200,31,3738,1962,85,"2,27",1
242100,41,3827,2421,41,"1,07",0
038102,25,12927,0381,719,"5,56",1
038101,26,13845,0381,749,"5,41",1
258001,30,25207,2580,1682,"6,67",2
258002,31,26166,2580,1608,"6,15",2
148202,31,15146,1482,953,"6,29",2
148201,28,13538,1482,839,"6,20",2
149402,25,13080,1494,680,"5,20",1
149401,26,13328,1494,671,"5,03",1
188200,33,7576,1882,365,"4,82",2
084000,49,9946,0840,527,"5,30",3
051300,35,6636,0513,457,"6,89",2
068202,23,8033,0682,477,"5,94",1
068201,34,11210,0682,880,"7,85",3
208300,41,9764,2083,518,"5,31",2
011401,26,12727,0114,1446,"11,36",3
011402,25,12392,0114,1047,"8,45",2
190400,31,2946,1904,93,"3,16",1
088301,32,13593,0883,681,"5,01",2
088302,25,10675,0883,399,"3,74",1
018001,19,116818,0180,21684,"18,56",4
018002,16,98262,0180,13265,"13,50",2
018003,17,102857,0180,10807,"10,51",2
018004,17,91570,0180,14082,"15,38",3
018005,16,92978,0180,14365,"15,45",3
018006,16,80848,0180,9358,"11,57",2
128400,41,16754,1284,1180,"7,04",3
013802,25,13667,0138,1169,"8,55",2
013801,26,15051,0138,1489,"9,89",3
138001,36,33116,1380,2234,"6,75",2
138002,35,29265,1380,1900,"6,49",2
144101,25,12933,1441,1585,"12,26",3
144102,26,12982,1441,1384,"10,66",3
228200,41,12310,2282,437,"3,55",1
129202,25,13395,1292,784,"5,85",1
129201,26,13217,1292,705,"5,33",1
048302,26,10823,0483,599,"5,53",1
048301,25,10669,0483,691,"6,48",2
251400,41,10954,2514,1104,"10,08",4
050900,35,3523,0509,276,"7,83",3
202100,31,4420,2021,62,"1,40",0
076500,41,9990,0765,487,"4,87",2
146100,31,5661,1461,288,"5,09",2
149800,41,8458,1498,463,"5,47",2
186100,45,10288,1861,427,"4,15",2
126700,41,10161,1267,926,"9,11",4
086000,45,8787,0860,176,"2,00",1
016302,32,22217,0163,1926,"8,67",3
016301,29,20425,0163,1744,"8,54",2
123000,41,14814,1230,1191,"8,04",3
082100,35,3689,0821,125,"3,39",1
251800,31,2914,2518,12,"0,41",0
176400,31,5905,1764,303,"5,13",2
031900,31,6071,0319,277,"4,56",1
226000,35,6413,2260,72,"1,12",0
127000,41,8294,1270,451,"5,44",2
046100,31,6895,0461,820,"11,89",4
176500,35,5845,1765,144,"2,46",1
012302,31,20510,0123,1806,"8,81",3
012301,30,22366,0123,1901,"8,50",3
123100,41,9772,1231,687,"7,03",3
126600,41,9441,1266,464,"4,91",2
086100,49,8817,0861,200,"2,27",1
016200,45,21062,0162,1238,"5,88",3
142100,41,10111,1421,979,"9,68",4
206100,35,7283,2061,583,"8,00",3
149902,26,10612,1499,576,"5,43",1
149901,25,10545,1499,596,"5,65",1
186000,31,3695,1860,178,"4,82",2
252300,41,12015,2523,1143,"9,51",4
076400,49,12070,0764,421,"3,49",2
230900,45,9086,2309,478,"5,26",2
146000,31,6026,1460,137,"2,27",1
213200,31,6183,2132,290,"4,69",1
129301,31,16196,1293,1226,"7,57",2
129302,30,16287,1293,999,"6,13",2
048200,45,10313,0482,427,"4,14",2
144000,49,17956,1440,1023,"5,70",3
228300,45,13025,2283,404,"3,10",1
138100,41,15502,1381,937,"6,04",3
058600,45,17311,0586,890,"5,14",2
013900,41,15273,0139,1175,"7,69",3
210400,31,6161,2104,125,"2,03",0
140101,25,11390,1401,1126,"9,89",2
140102,26,11752,1401,944,"8,03",2
088200,49,17553,0882,599,"3,41",2
018102,32,25134,0181,2772,"11,03",4
018101,33,23706,0181,1376,"5,80",2
128501,27,10537,1285,648,"6,15",2
128502,24,9529,1285,582,"6,11",2
061700,35,5796,0617,179,"3,09",1
208200,35,7307,2082,256,"3,50",1
011500,41,20104,0115,1966,"9,78",4
068301,32,13535,0683,709,"5,24",2
068302,19,8116,0683,307,"3,78",1
051200,21,2557,0512,245,"9,58",2
231300,35,7733,2313,180,"2,33",1
149500,45,12206,1495,625,"5,12",2
188300,47,19665,1883,1177,"5,99",3
131500,39,6168,1315,167,"2,71",1
230500,39,4262,2305,93,"2,18",1
258101,29,16282,2581,875,"5,37",2
258102,22,12386,2581,565,"4,56",1
038001,27,45899,0380,7539,"16,43",5
038002,27,45897,0380,6243,"13,60",4
038003,27,45667,0380,4265,"9,34",3
048100,31,7624,0481,467,"6,13",2
129001,23,15371,1290,1093,"7,11",2
129002,26,20514,1290,953,"4,65",1
129003,22,15806,1290,767,"4,85",1
178500,41,10063,1785,333,"3,31",1
228000,43,16134,2280,1728,"10,71",5
144300,31,5773,1443,336,"5,82",2
240400,31,3551,2404,74,"2,08",0
138201,26,13856,1382,718,"5,18",1
138202,25,13929,1382,763,"5,48",1
181400,35,4877,1814,194,"3,98",1
064300,35,7195,0643,332,"4,61",2
140202,26,11830,1402,1370,"11,58",3
140201,25,11428,1402,1065,"9,32",2
128600,49,19580,1286,1062,"5,42",3
018201,31,30503,0182,4058,"13,30",4
018202,30,29333,0182,2581,"8,80",3
088100,49,12902,0881,321,"2,49",1
208102,29,15745,2081,737,"4,68",1
208101,32,16460,2081,1114,"6,77",2
068002,28,29438,0680,1992,"6,77",2
068001,27,29134,0680,2416,"8,29",2
068003,26,27335,0680,1820,"6,66",2
203900,35,4698,2039,111,"2,36",1
188001,33,45974,1880,3542,"7,70",3
188002,32,46359,1880,3885,"8,38",3
149601,30,17018,1496,1085,"6,38",2
149602,31,17906,1496,1274,"7,11",2
148003,19,84593,1480,11598,"13,71",3
148001,22,89347,1480,7488,"8,38",2
148004,20,87035,1480,8387,"9,64",2
148002,20,72815,1480,8118,"11,15",2
258200,49,18862,2582,828,"4,39",2
143800,31,2916,1438,92,"3,16",1
198400,41,8862,1984,498,"5,62",2
232600,31,4653,2326,255,"5,48",2
176600,41,8908,1766,448,"5,03",2
127300,41,8182,1273,241,"2,95",1
012001,28,13908,0120,1576,"11,33",3
012002,23,11618,0120,926,"7,97",2
013601,31,24415,0136,2220,"9,09",3
013602,30,23172,0136,1832,"7,91",2
086200,41,6036,0862,217,"3,60",2
126500,49,11789,1265,473,"4,01",2
206200,41,13231,2062,583,"4,41",2
186300,31,4376,1863,56,"1,28",0
146301,25,10817,1463,493,"4,56",1
146302,26,11139,1463,501,"4,50",1
076700,35,6042,0767,211,"3,49",1
202300,39,6585,2023,67,"1,02",0
036000,49,13306,0360,685,"5,15",3
242500,25,1858,2425,34,"1,83",0
256000,31,5397,2560,18,"0,33",0
143500,41,8220,1435,610,"7,42",3
146200,31,8094,1462,347,"4,29",1
203400,31,4601,2034,199,"4,33",1
252100,33,4056,2521,22,"0,54",0
186200,31,6435,1862,225,"3,50",1
066200,49,18129,0662,654,"3,61",2
016001,31,23069,0160,1803,"7,82",3
016002,30,21057,0160,1498,"7,11",2
126400,41,9627,1264,428,"4,45",2
083400,35,4721,0834,163,"3,45",1
123302,19,8716,1233,480,"5,51",1
123301,15,6955,1233,305,"4,39",1
123303,17,7833,1233,359,"4,58",1
173000,35,4633,1730,31,"0,67",0
240900,31,4469,2409,90,"2,01",0
141900,41,10533,1419,623,"5,91",2
127200,41,7974,1272,408,"5,12",2
226200,41,11769,2262,380,"3,23",1
038200,49,14223,0382,612,"4,30",2
143900,31,4174,1439,92,"2,20",0
258300,35,4762,2583,61,"1,28",0
148101,30,19665,1481,2407,"12,24",4
148102,31,20882,1481,2114,"10,12",3
218402,26,12080,2184,751,"6,22",2
218401,25,11939,2184,810,"6,78",2
188100,45,13465,1881,697,"5,18",2
149700,33,6047,1497,379,"6,27",2
014000,31,6114,0140,416,"6,80",2
208001,30,18589,2080,1370,"7,37",2
208002,31,19191,2080,1408,"7,34",2
011701,25,12354,0117,1097,"8,88",2
011702,26,13668,0117,1172,"8,57",2
190700,39,6235,1907,262,"4,20",2
128702,24,12868,1287,644,"5,00",1
128701,27,14543,1287,691,"4,75",1
018302,27,12413,0183,1390,"11,20",3
018301,28,14230,0183,1564,"10,99",3
088001,30,20878,0880,1217,"5,83",2
088002,31,22235,0880,1474,"6,63",2
064200,35,4758,0642,545,"11,45",4
058400,35,5217,0584,330,"6,33",2
141500,41,16357,1415,1154,"7,06",3
138301,31,20644,1383,1089,"5,28",2
138302,30,20111,1383,1214,"6,04",2
228102,23,18635,2281,862,"4,63",1
228104,23,18272,2281,707,"3,87",1
228101,16,12746,2281,594,"4,66",1
228103,19,14401,2281,941,"6,53",1
144200,41,7309,1442,447,"6,12",2
048002,20,11183,0480,911,"8,15",2
048001,21,12462,0480,1002,"8,04",2
048003,20,11928,0480,1026,"8,60",2
129100,49,12999,1291,647,"4,98",3
178400,49,16731,1784,898,"5,37",3
176000,27,2657,1760,34,"1,28",0
127500,35,4191,1275,177,"4,22",1
173700,31,7691,1737,173,"2,25",1
012601,31,28427,0126,2705,"9,52",3
012602,30,30320,0126,2734,"9,02",3
236100,39,6719,2361,79,"1,18",0
056000,35,3624,0560,130,"3,59",1
241800,25,2037,2418,6,"0,29",0
018802,24,14727,0188,858,"5,83",1
018801,37,23728,0188,2082,"8,77",3
126300,45,12970,1263,901,"6,95",3
066500,41,8506,0665,431,"5,07",2
212100,35,7628,2121,251,"3,29",1
147300,31,5862,1473,159,"2,71",1
246300,31,1903,2463,7,"0,37",0
146500,33,6599,1465,246,"3,73",1
076100,35,5111,0761,201,"3,93",1
033100,41,8747,0331,336,"3,84",2
196100,45,9788,1961,395,"4,04",2
242200,21,1532,2422,15,"0,98",0
251000,31,3291,2510,455,"13,83",4
019200,41,17073,0192,1163,"6,81",3
178300,35,7953,1783,155,"1,95",1
144500,31,3682,1445,138,"3,75",1
060400,35,4380,0604,252,"5,75",2
138401,30,25551,1384,1770,"6,93",2
138402,31,26261,1384,2010,"7,65",2
210100,31,3874,2101,154,"3,98",1
058301,28,13401,0583,661,"4,93",1
058302,29,14674,0583,868,"5,92",2
250600,21,1865,2506,57,"3,06",0
128002,29,92378,1280,8121,"8,79",3
128001,32,90247,1280,7624,"8,45",3
018401,31,24005,0184,3148,"13,11",4
018402,30,23796,0184,3161,"13,28",4
121400,35,8379,1214,357,"4,26",1
068600,49,10960,0686,688,"6,28",3
248001,37,44071,2480,4043,"9,17",3
248002,28,35583,2480,1828,"5,14",1
149001,22,20531,1490,1313,"6,40",1
149002,24,21826,1490,1728,"7,92",2
149003,27,25162,1490,1688,"6,71",2
218300,45,17140,2183,646,"3,77",2
202900,49,10498,2029,674,"6,42",3
148600,39,7257,1486,681,"9,38",4
258400,45,15052,2584,299,"1,99",1
198200,35,7932,1982,104,"1,31",0
108100,49,18647,1081,708,"3,80",2
198300,49,15991,1983,630,"3,94",2
108003,25,13786,1080,1163,"8,44",2
108002,24,13554,1080,636,"4,69",1
108001,26,15232,1080,740,"4,86",1
148701,27,13417,1487,867,"6,46",2
148702,24,11034,1487,846,"7,67",2
218200,49,16945,2182,735,"4,34",2
149100,49,15299,1491,849,"5,55",3
248100,31,7842,2481,145,"1,85",0
068700,41,12282,0687,732,"5,96",2
145200,37,7567,1452,433,"5,72",2
128102,33,37463,1281,5839,"15,59",5
128101,32,38443,1281,4983,"12,96",4
058200,39,9685,0582,621,"6,41",3
042800,31,5882,0428,360,"6,12",2
240300,31,1615,2403,6,"0,37",0
144400,27,3832,1444,166,"4,33",1
048601,27,10385,0486,596,"5,74",2
048602,28,11354,0486,684,"6,02",2
127800,41,9985,1278,809,"8,10",3
178200,37,6694,1782,163,"2,44",1
196000,39,5315,1960,206,"3,88",2
216100,41,11820,2161,844,"7,14",3
076000,35,5759,0760,159,"2,76",1
033000,31,9811,0330,731,"7,45",2
246200,27,4406,2462,38,"0,86",0
147200,35,7193,1472,278,"3,86",1
186400,25,3133,1864,237,"7,56",2
126200,45,15459,1262,1102,"7,13",3
056100,35,7732,0561,380,"4,91",2
012702,28,17798,0127,2103,"11,82",4
012701,33,27839,0127,2610,"9,38",3
176100,31,10178,1761,749,"7,36",2
232100,37,6781,2321,596,"8,79",3
