KOD,MANDAT_VALKRETS,RÖSTER,KOMMUNKOD,MP_RÖSTER,MP_PROCENT,MP_MANDAT
143000,35,6539,1430,225,"3,44",1
106000,49,8434,1060,203,"2,41",1
148801,31,18784,1488,1312,"6,98",2
148802,30,17199,1488,898,"5,22",2
076300,41,7940,0763,243,"3,06",1
203100,39,7401,2031,408,"5,51",2
147100,41,8731,1471,353,"4,04",2
126100,49,19302,1261,1349,"6,99",3
056200,45,13850,0562,651,"4,70",2
127700,31,8384,1277,322,"3,84",1
176200,25,2501,1762,63,"2,52",0
108300,49,11404,1083,288,"2,53",1
198001,31,46127,1980,2770,"6,01",2
198002,30,45449,1980,3274,"7,20",2
171500,35,7886,1715,396,"5,02",2
148400,31,9624,1484,494,"5,13",2
078001,31,29057,0780,1846,"6,35",2
078002,30,27260,0780,2113,"7,75",2
218102,17,8408,2181,266,"3,16",0
218101,34,16301,2181,761,"4,67",2
125700,41,6106,1257,226,"3,70",2
149200,35,7783,1492,422,"5,42",2
188400,35,6841,1884,302,"4,41",2
248201,32,23848,2482,1345,"5,64",2
248202,33,24274,2482,1298,"5,35",2
068400,39,6960,0684,109,"1,57",0
208502,20,7615,2085,377,"4,95",1
208501,25,9270,2085,860,"9,28",2
030500,41,12735,0305,748,"5,87",2
018602,26,14787,0186,1098,"7,43",2
018601,25,14761,0186,988,"6,69",2
088500,35,7574,0885,286,"3,78",1
128202,25,13013,1282,473,"3,63",1
128201,26,12892,1282,497,"3,86",1
238001,29,19113,2380,1804,"9,44",3
238002,32,20673,2380,1589,"7,69",3
058101,43,43090,0581,3314,"7,69",3
058102,42,42880,0581,2250,"5,25",2
012800,31,9931,0128,692,"6,97",2
144700,31,3351,1447,66,"1,97",0
228401,27,16285,2284,679,"4,17",1
228402,34,20464,2284,686,"3,35",1
178100,41,15986,1781,776,"4,85",2
178001,30,29247,1780,2498,"8,54",3
178002,31,30988,1780,2874,"9,27",3
019102,25,11474,0191,693,"6,04",2
019101,26,13825,0191,797,"5,76",1
048403,19,14637,0484,1184,"8,09",2
048404,18,14299,0484,954,"6,67",1
048401,22,17178,0484,1219,"7,10",2
048402,20,15290,0484,998,"6,53",1
251300,31,2369,2513,52,"2,20",1
144600,31,4787,1446,172,"3,59",1
240100,31,4557,2401,70,"1,54",0
098002,20,11238,0980,915,"8,14",2
098003,21,11564,0980,851,"7,36",2
098001,30,16091,0980,2009,"12,49",4
058003,28,35614,0580,2557,"7,18",2
058001,26,31707,0580,2928,"9,23",2
058002,25,32424,0580,3132,"9,66",3
241700,31,2610,2417,11,"0,42",0
140700,41,8678,1407,656,"7,56",3
018700,31,7388,0187,742,"10,04",3
088400,49,10175,0884,296,"2,91",1
128301,33,42796,1283,3831,"8,95",3
128302,32,40951,1283,3806,"9,29",3
250500,29,4298,2505,19,"0,44",0
208400,41,14582,2084,400,"2,74",1
068500,45,17213,0685,653,"3,79",2
149300,49,15885,1493,805,"5,07",2
188500,45,15363,1885,751,"4,89",2
218001,32,32175,2180,2441,"7,59",2
218002,33,32055,2180,2418,"7,54",2
125600,31,8873,1256,275,"3,10",1
