KOD,MANDAT_VALKRETS,RÖSTER,KOMMUNKOD,MP_RÖSTER,MP_PROCENT,MP_MANDAT
128101,33,36520,1281,4326,"11,85",4
058200,39,9136,0582,607,"6,64",3
042800,35,5772,0428,267,"4,63",2
240300,31,1608,2403,7,"0,44",0
144400,31,3754,1444,40,"1,07",0
048601,27,9830,0486,562,"5,72",2
048602,28,10461,0486,603,"5,76",2
127800,41,9618,1278,721,"7,50",3
178200,37,6742,1782,180,"2,67",1
196000,39,5139,1960,186,"3,62",1
216100,41,11459,2161,665,"5,80",2
076000,35,5714,0760,182,"3,19",1
033000,31,9015,0330,469,"5,20",2
246200,35,4625,2462,28,"0,61",0
147200,35,6725,1472,91,"1,35",0
186400,31,3112,1864,170,"5,46",2
126200,45,14208,1262,734,"5,17",2
056100,35,7507,0561,255,"3,40",1
012702,28,17512,0127,1423,"8,13",2
012701,33,25795,0127,1633,"6,33",2
176100,31,9735,1761,538,"5,53",2
232100,41,6414,2321,376,"5,86",2
